"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026年01週(12月29日～01月04日)","2026年01月08日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）","","COVID-19",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","33217","10.35","677","0.35","255","0.13","1600","0.82","3708","1.90","493","0.25","68","0.03","210","0.11","141","0.07","18","0.01","22","0.01","3","0.01","68","0.13","8","0.02","14","0.03","205","0.43","-","-","4","0.01","3629","1.13"
"北海道","1075","7.47","73","0.90","19","0.23","144","1.78","118","1.46","37","0.46","4","0.05","7","0.09","4","0.05","-","-","-","-","-","-","4","0.20","1","0.04","1","0.04","13","0.57","-","-","-","-","650","4.51"
"青森県","402","8.93","14","0.44","3","0.09","25","0.78","33","1.03","3","0.09","-","-","1","0.03","2","0.06","-","-","-","-","-","-","-","-","-","-","1","0.17","3","0.50","-","-","-","-","83","1.84"
"岩手県","209","4.98","1","0.04","1","0.04","24","0.89","56","2.07","12","0.44","-","-","6","0.22","3","0.11","-","-","-","-","-","-","4","0.29","-","-","-","-","6","0.32","-","-","-","-","93","2.21"
"宮城県","292","5.31","6","0.19","1","0.03","18","0.58","42","1.35","5","0.16","-","-","1","0.03","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","0.20","-","-","-","-","89","1.62"
"秋田県","298","13.55","5","0.42","1","0.08","9","0.75","13","1.08","8","0.67","-","-","-","-","1","0.08","-","-","-","-","-","-","-","-","-","-","-","-","13","1.63","-","-","-","-","73","3.32"
"山形県","265","9.46","7","0.35","11","0.55","25","1.25","14","0.70","8","0.40","-","-","6","0.30","2","0.10","-","-","-","-","-","-","1","0.17","-","-","-","-","5","0.50","-","-","-","-","68","2.43"
"福島県","466","9.71","8","0.29","4","0.14","34","1.21","68","2.43","11","0.39","-","-","-","-","5","0.18","-","-","-","-","1","0.08","3","0.23","-","-","-","-","5","0.71","-","-","-","-","213","4.44"
"茨城県","970","17.64","15","0.52","8","0.28","57","1.97","147","5.07","21","0.72","6","0.21","2","0.07","4","0.14","2","0.07","1","0.03","-","-","4","0.31","1","0.08","-","-","12","0.92","-","-","-","-","134","2.44"
