"date","value","year","week_label_clean","pref","category"
"2012-09-16",0.23,2012,"September 10–16, 2012","Nationwide","Flu"
"2012-09-16",0.38,2012,"September 10–16, 2012","Nationwide","Adenovirus infection"
"2012-09-16",0.89,2012,"September 10–16, 2012","Nationwide","Strep throat"
"2012-09-16",3.22,2012,"September 10–16, 2012","Nationwide","Gastroenteritis"
"2012-09-16",0.42,2012,"September 10–16, 2012","Nationwide","Chickenpox"
"2012-09-16",0.98,2012,"September 10–16, 2012","Nationwide","Hand-foot-mouth disease"
"2012-09-16",0.07,2012,"September 10–16, 2012","Nationwide","Fifth disease"
"2012-09-16",0.71,2012,"September 10–16, 2012","Nationwide","Roseola"
"2012-09-16",0.03,2012,"September 10–16, 2012","Nationwide","Whooping cough"
"2012-09-16",0.88,2012,"September 10–16, 2012","Nationwide","Herpangina"
"2012-09-16",0.4,2012,"September 10–16, 2012","Nationwide","Mumps"
"2012-09-16",0,2012,"September 10–16, 2012","Nationwide","Hemorrhagic conjunctivitis"
"2012-09-16",0.6,2012,"September 10–16, 2012","Nationwide","Viral conjunctivitis"
"2012-09-16",0.01,2012,"September 10–16, 2012","Nationwide","Bacterial meningitis"
"2012-09-16",0.08,2012,"September 10–16, 2012","Nationwide","Viral meningitis"
"2012-09-16",1.1,2012,"September 10–16, 2012","Nationwide","Mycoplasma pneumonia"
"2012-09-16",0.03,2012,"September 10–16, 2012","Nationwide","Chlamydia pneumonia"
"2012-09-23",0.18,2012,"September 17–23, 2012","Nationwide","Flu"
"2012-09-23",0.25,2012,"September 17–23, 2012","Nationwide","Adenovirus infection"
"2012-09-23",0.7,2012,"September 17–23, 2012","Nationwide","Strep throat"
"2012-09-23",2.72,2012,"September 17–23, 2012","Nationwide","Gastroenteritis"
"2012-09-23",0.42,2012,"September 17–23, 2012","Nationwide","Chickenpox"
"2012-09-23",0.89,2012,"September 17–23, 2012","Nationwide","Hand-foot-mouth disease"
"2012-09-23",0.05,2012,"September 17–23, 2012","Nationwide","Fifth disease"
"2012-09-23",0.54,2012,"September 17–23, 2012","Nationwide","Roseola"
"2012-09-23",0.02,2012,"September 17–23, 2012","Nationwide","Whooping cough"
"2012-09-23",0.57,2012,"September 17–23, 2012","Nationwide","Herpangina"
"2012-09-23",0.32,2012,"September 17–23, 2012","Nationwide","Mumps"
"2012-09-23",0,2012,"September 17–23, 2012","Nationwide","Hemorrhagic conjunctivitis"
"2012-09-23",0.51,2012,"September 17–23, 2012","Nationwide","Viral conjunctivitis"
"2012-09-23",0.02,2012,"September 17–23, 2012","Nationwide","Bacterial meningitis"
"2012-09-23",0.06,2012,"September 17–23, 2012","Nationwide","Viral meningitis"
"2012-09-23",1.05,2012,"September 17–23, 2012","Nationwide","Mycoplasma pneumonia"
"2012-09-23",0.03,2012,"September 17–23, 2012","Nationwide","Chlamydia pneumonia"
"2012-09-30",0.14,2012,"September 24–30, 2012","Nationwide","Flu"
"2012-09-30",0.25,2012,"September 24–30, 2012","Nationwide","Adenovirus infection"
"2012-09-30",0.94,2012,"September 24–30, 2012","Nationwide","Strep throat"
"2012-09-30",3.08,2012,"September 24–30, 2012","Nationwide","Gastroenteritis"
"2012-09-30",0.45,2012,"September 24–30, 2012","Nationwide","Chickenpox"
"2012-09-30",0.95,2012,"September 24–30, 2012","Nationwide","Hand-foot-mouth disease"
"2012-09-30",0.05,2012,"September 24–30, 2012","Nationwide","Fifth disease"
"2012-09-30",0.65,2012,"September 24–30, 2012","Nationwide","Roseola"
"2012-09-30",0.03,2012,"September 24–30, 2012","Nationwide","Whooping cough"
"2012-09-30",0.51,2012,"September 24–30, 2012","Nationwide","Herpangina"
"2012-09-30",0.38,2012,"September 24–30, 2012","Nationwide","Mumps"
"2012-09-30",0.01,2012,"September 24–30, 2012","Nationwide","Hemorrhagic conjunctivitis"
"2012-09-30",0.61,2012,"September 24–30, 2012","Nationwide","Viral conjunctivitis"
"2012-09-30",0.01,2012,"September 24–30, 2012","Nationwide","Bacterial meningitis"
"2012-09-30",0.06,2012,"September 24–30, 2012","Nationwide","Viral meningitis"
"2012-09-30",1.18,2012,"September 24–30, 2012","Nationwide","Mycoplasma pneumonia"
"2012-09-30",0.03,2012,"September 24–30, 2012","Nationwide","Chlamydia pneumonia"
"2012-10-07",0.09,2012,"October 1–7, 2012","Nationwide","Flu"
"2012-10-07",0.2,2012,"October 1–7, 2012","Nationwide","Adenovirus infection"
"2012-10-07",1.01,2012,"October 1–7, 2012","Nationwide","Strep throat"
"2012-10-07",3.16,2012,"October 1–7, 2012","Nationwide","Gastroenteritis"
"2012-10-07",0.46,2012,"October 1–7, 2012","Nationwide","Chickenpox"
"2012-10-07",0.86,2012,"October 1–7, 2012","Nationwide","Hand-foot-mouth disease"
"2012-10-07",0.05,2012,"October 1–7, 2012","Nationwide","Fifth disease"
"2012-10-07",0.59,2012,"October 1–7, 2012","Nationwide","Roseola"
"2012-10-07",0.02,2012,"October 1–7, 2012","Nationwide","Whooping cough"
"2012-10-07",0.37,2012,"October 1–7, 2012","Nationwide","Herpangina"
"2012-10-07",0.38,2012,"October 1–7, 2012","Nationwide","Mumps"
"2012-10-07",0.02,2012,"October 1–7, 2012","Nationwide","Hemorrhagic conjunctivitis"
"2012-10-07",0.63,2012,"October 1–7, 2012","Nationwide","Viral conjunctivitis"
"2012-10-07",0.01,2012,"October 1–7, 2012","Nationwide","Bacterial meningitis"
"2012-10-07",0.08,2012,"October 1–7, 2012","Nationwide","Viral meningitis"
"2012-10-07",1.26,2012,"October 1–7, 2012","Nationwide","Mycoplasma pneumonia"
"2012-10-07",0.03,2012,"October 1–7, 2012","Nationwide","Chlamydia pneumonia"
"2012-10-14",0.06,2012,"October 8–14, 2012","Nationwide","Flu"
"2012-10-14",0.15,2012,"October 8–14, 2012","Nationwide","Adenovirus infection"
"2012-10-14",0.87,2012,"October 8–14, 2012","Nationwide","Strep throat"
"2012-10-14",2.97,2012,"October 8–14, 2012","Nationwide","Gastroenteritis"
"2012-10-14",0.53,2012,"October 8–14, 2012","Nationwide","Chickenpox"
"2012-10-14",0.69,2012,"October 8–14, 2012","Nationwide","Hand-foot-mouth disease"
"2012-10-14",0.04,2012,"October 8–14, 2012","Nationwide","Fifth disease"
"2012-10-14",0.54,2012,"October 8–14, 2012","Nationwide","Roseola"
"2012-10-14",0.02,2012,"October 8–14, 2012","Nationwide","Whooping cough"
"2012-10-14",0.22,2012,"October 8–14, 2012","Nationwide","Herpangina"
"2012-10-14",0.33,2012,"October 8–14, 2012","Nationwide","Mumps"
"2012-10-14",0.01,2012,"October 8–14, 2012","Nationwide","Hemorrhagic conjunctivitis"
"2012-10-14",0.54,2012,"October 8–14, 2012","Nationwide","Viral conjunctivitis"
"2012-10-14",0.02,2012,"October 8–14, 2012","Nationwide","Bacterial meningitis"
"2012-10-14",0.02,2012,"October 8–14, 2012","Nationwide","Viral meningitis"
"2012-10-14",1.08,2012,"October 8–14, 2012","Nationwide","Mycoplasma pneumonia"
"2012-10-14",0.05,2012,"October 8–14, 2012","Nationwide","Chlamydia pneumonia"
"2012-10-21",0.05,2012,"October 15–21, 2012","Nationwide","Flu"
