"date","value","year","week_label_clean","pref","category"
"2012-09-16",0.11,2012,"September 10–16, 2012","Tokyo","Flu"
"2012-09-16",0.76,2012,"September 10–16, 2012","Tokyo","Adenovirus infection"
"2012-09-16",1.05,2012,"September 10–16, 2012","Tokyo","Strep throat"
"2012-09-16",3.75,2012,"September 10–16, 2012","Tokyo","Gastroenteritis"
"2012-09-16",0.32,2012,"September 10–16, 2012","Tokyo","Chickenpox"
"2012-09-16",0.52,2012,"September 10–16, 2012","Tokyo","Hand-foot-mouth disease"
"2012-09-16",0.08,2012,"September 10–16, 2012","Tokyo","Fifth disease"
"2012-09-16",0.95,2012,"September 10–16, 2012","Tokyo","Roseola"
"2012-09-16",0.02,2012,"September 10–16, 2012","Tokyo","Whooping cough"
"2012-09-16",0.89,2012,"September 10–16, 2012","Tokyo","Herpangina"
"2012-09-16",0.29,2012,"September 10–16, 2012","Tokyo","Mumps"
"2012-09-16",0,2012,"September 10–16, 2012","Tokyo","Hemorrhagic conjunctivitis"
"2012-09-16",0.65,2012,"September 10–16, 2012","Tokyo","Viral conjunctivitis"
"2012-09-16",0.05,2012,"September 10–16, 2012","Tokyo","Bacterial meningitis"
"2012-09-16",0.09,2012,"September 10–16, 2012","Tokyo","Viral meningitis"
"2012-09-16",1.14,2012,"September 10–16, 2012","Tokyo","Mycoplasma pneumonia"
"2012-09-16",0,2012,"September 10–16, 2012","Tokyo","Chlamydia pneumonia"
"2012-09-23",0.07,2012,"September 17–23, 2012","Tokyo","Flu"
"2012-09-23",0.58,2012,"September 17–23, 2012","Tokyo","Adenovirus infection"
"2012-09-23",0.91,2012,"September 17–23, 2012","Tokyo","Strep throat"
"2012-09-23",3.13,2012,"September 17–23, 2012","Tokyo","Gastroenteritis"
"2012-09-23",0.41,2012,"September 17–23, 2012","Tokyo","Chickenpox"
"2012-09-23",0.55,2012,"September 17–23, 2012","Tokyo","Hand-foot-mouth disease"
"2012-09-23",0.06,2012,"September 17–23, 2012","Tokyo","Fifth disease"
"2012-09-23",0.6,2012,"September 17–23, 2012","Tokyo","Roseola"
"2012-09-23",0.02,2012,"September 17–23, 2012","Tokyo","Whooping cough"
"2012-09-23",0.61,2012,"September 17–23, 2012","Tokyo","Herpangina"
"2012-09-23",0.26,2012,"September 17–23, 2012","Tokyo","Mumps"
"2012-09-23",0.03,2012,"September 17–23, 2012","Tokyo","Hemorrhagic conjunctivitis"
"2012-09-23",0.34,2012,"September 17–23, 2012","Tokyo","Viral conjunctivitis"
"2012-09-23",0,2012,"September 17–23, 2012","Tokyo","Bacterial meningitis"
"2012-09-23",0.04,2012,"September 17–23, 2012","Tokyo","Viral meningitis"
"2012-09-23",0.92,2012,"September 17–23, 2012","Tokyo","Mycoplasma pneumonia"
"2012-09-23",0,2012,"September 17–23, 2012","Tokyo","Chlamydia pneumonia"
"2012-09-30",0.04,2012,"September 24–30, 2012","Tokyo","Flu"
"2012-09-30",0.51,2012,"September 24–30, 2012","Tokyo","Adenovirus infection"
"2012-09-30",1.12,2012,"September 24–30, 2012","Tokyo","Strep throat"
"2012-09-30",3.75,2012,"September 24–30, 2012","Tokyo","Gastroenteritis"
"2012-09-30",0.4,2012,"September 24–30, 2012","Tokyo","Chickenpox"
"2012-09-30",0.51,2012,"September 24–30, 2012","Tokyo","Hand-foot-mouth disease"
"2012-09-30",0.02,2012,"September 24–30, 2012","Tokyo","Fifth disease"
"2012-09-30",0.72,2012,"September 24–30, 2012","Tokyo","Roseola"
"2012-09-30",0.03,2012,"September 24–30, 2012","Tokyo","Whooping cough"
"2012-09-30",0.59,2012,"September 24–30, 2012","Tokyo","Herpangina"
"2012-09-30",0.22,2012,"September 24–30, 2012","Tokyo","Mumps"
